tweet_id,retweet_count,favorite_count
892420643555336193,7009,33811
892177421306343426,5302,29329
891815181378084864,3481,22055
891689557279858688,7227,36940
891327558926688256,7762,35311
891087950875897856,2602,17812
890971913173991426,1664,10364
890729181411237888,15755,56870
890609185150312448,3622,24525
890240255349198849,6100,27966
890006608113172480,6153,27039
889880896479866881,4167,24570
889665388333682689,8353,42059
889638837579907072,3716,23675
889531135344209921,1882,13353
889278841981685760,4445,22124
888917238123831296,3764,25639
888804989199671297,3537,22468
888554962724278272,2879,17317
888078434458587136,2893,19149
887705289381826560,4534,26629
887517139158093824,9856,40726
887473957103951883,15029,60195
887343217045368832,8815,29593
887101392804085760,4991,26989
886983233522544640,6321,30387
886736880519319552,2632,10499
886680336477933568,3735,19739
886366144734445568,2632,18548
886267009285017600,4,105
886258384151887873,5291,24529
886054160059072513,93,0
885984800019947520,5614,28618
885528943205470208,5328,31604
885518971528720385,3108,18008
885311592912609280,15442,0
885167619883638784,3670,19260
884925521741709313,15028,67288
884876753390489601,4673,24387
884562892145688576,3912,21330
884441805382717440,4792,23869
884247878851493888,16924,63322
884162670584377345,2505,17948
883838122936631299,2863,19178
883482846933004288,8273,40216
883360690899218434,3081,19952
883117836046086144,5533,32524
882992080364220416,3248,20987
882762694511734784,4097,24799
882627270321602560,5063,24603
882268110199369728,9632,39205
882045870035918850,4083,25728
881906580714921986,2855,21446
881666595344535552,8960,44566
881633300179243008,8,113
881536004380872706,13403,43450
881268444196462592,4493,20482
880935762899988482,2333,15054
880872448815771648,3200,18713
880465832366813184,5215,25032
880221127280381952,3468,23678
880095782870896641,3653,24346
879862464715927552,2929,19705
879674319642796034,9,281
879492040517615616,2628,20716
879415818425184262,37459,92894
879376492567855104,2650,14860
879130579576475649,5742,0
879050749262655488,3956,19816
879008229531029506,2242,16787
878776093423087618,3433,17140
878604707211726852,5930,26447
878404777348136964,1078,0
878316110768087041,5529,0
878281511006478336,1078,6781
878057613040115712,5742,37156
877736472329191424,15811,69310
877611172832227328,70,0
877556246731214848,3169,19909
877316821321428993,4348,24162
877201837425926144,4630,23867
876838120628539392,2804,18216
876537666061221889,3974,21050
876484053909872640,2001,16569
876120275196170240,3903,24694
875747767867523072,3580,22104
875144289856114688,4158,19423
875097192612077568,5118,24249
875021211251597312,3974,22549
874680097055178752,3919,24608
874434818259525634,12215,0
874296783580663808,3483,22971
874057562936811520,3378,20121
874012996292530176,8595,30126
873580283840344065,3344,21386
873337748698140672,1331,0
873213775632977920,1331,6323
872967104147763200,4563,24082
872820683541237760,3167,13076
872620804844003328,3067,18329
872486979161796608,7719,36101
872122724285648897,6830,30236
871879754684805121,9248,33113
871762521631449091,2970,17895
871515927908634625,2941,17896
871166179821445120,4895,0
871102520638267392,4683,18552
871032628920680449,3226,20164
870804317367881728,5284,29811
870726314365509632,3,105
870656317836468226,2208,10887
870374049280663552,22754,73973
870308999962521604,3550,19486
870063196459192321,7076,32428
869772420881756160,8698,38029
869702957897576449,5386,25065
869596645499047938,2640,14210
869227993411051520,3201,18141
868880397819494401,12267,57998
868639477480148993,1754,0
868622495443632128,4474,23645
868552278524837888,1754,8970
867900495410671616,3572,21610
867774946302451713,6258,30278
867421006826221569,2118,14348
867072653475098625,101,0
867051520902168576,6790,28727
866720684873056260,4133,17877
866686824827068416,2973,17135
866450705531457537,30214,108925
866334964761202691,12215,46628
866094527597207552,7172,0
865718153858494464,4851,22941
865359393868664832,4292,23618
865006731092295680,6674,25053
864873206498414592,7499,28870
864279568663928832,2585,13076
864197398364647424,7591,26646
863907417377173506,3593,18432
863553081350529029,3635,13691
863471782782697472,2092,0
863432100342583297,4558,21320
863427515083354112,80,1961
863079547188785154,953,7900
863062471531167744,2092,7528
862831371563274240,4461,17220
862722525377298433,3091,15342
862457590147678208,4255,18277
862096992088072192,20016,66328
861383897657036800,9271,32310
861288531465048066,3591,15357
861005113778896900,3339,14997
860981674716409858,1858,0
860924035999428608,679,0
860563773140209665,1858,6725
860524505164394496,4607,21266
860276583193509888,3074,16593
860184849394610176,5129,15023
860177593139703809,26770,0
859924526012018688,3586,17647
859851578198683649,3072,13981
859607811541651456,1366,16840
859196978902773760,26290,80609
859074603037188101,11979,30456
858860390427611136,7087,0
858843525470990336,3028,14131
858471635011153920,4265,19501
858107933456039936,2540,14248
857989990357356544,2268,14498
857746408056729600,9356,30829
857393404942143489,1444,5310
857263160327368704,3983,18260
857214891891077121,16,204
857062103051644929,148,0
857029823797047296,3493,17055
856543823941562368,2551,14846
856526610513747968,1654,10833
856288084350160898,15,488
856282028240666624,5586,25255
855862651834028034,21,303
855860136149123072,853,4410
855857698524602368,1862,10865
855851453814013952,16141,41914
855818117272018944,4818,24287
855459453768019968,7312,27122
855245323840757760,5270,0
855138241867124737,36,0
854732716440526848,5360,20706
854482394044301312,6032,26602
854365224396361728,4155,17214
854120357044912130,6601,29254
854010172552949760,2796,14845
853760880890318849,5118,26093
853639147608842240,8889,31581
853299958564483072,3173,14181
852936405516943360,1790,0
852912242202992640,1602,8261
852672615818899456,1915,13657
852553447878664193,3124,14915
852311364735569921,8890,30390
852226086759018497,6102,18365
852189679701164033,1420,10577
851591660324737024,3128,14977
851464819735769094,6322,22291
851224888060895234,5177,19071
850753642995093505,8093,28178
850380195714523136,2334,12090
850333567704068097,301,3193
850145622816686080,3402,15064
850019790995546112,4380,18799
849776966551130114,6829,27937
849668094696017920,4454,0
849412302885593088,2836,14688
849336543269576704,1695,10568
849051919805034497,7641,39064
848690551926992896,3932,23283
848324959059550208,4163,22859
848213670039564288,646,7546
848212111729840128,2722,15052
847978865427394560,2929,0
847971574464610304,396,0
847962785489326080,4586,21755
847842811428974592,1193,5020
847617282490613760,376,6471
847606175596138505,3096,17374
847251039262605312,3925,18996
847157206088847362,5264,18397
847116187444137987,2881,19892
